room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
9101528,1467,47417504,Shared room,,Auckland,,Greenmount,8,4.5,4,1.0,,14.0,,Welcome to Nana House,2017-07-19 03:30:07.014062,-36.943875,174.907884,0101000020E6100000F911BF620DDD6540894160E5D07842C0
13548513,1467,16989272,Shared room,,Auckland,,Newton,0,0.0,1,1.0,,34.0,,Everything within easy reach,2017-07-19 03:30:07.010224,-36.862194,174.756008,0101000020E61000007670B03731D865405A677C5F5C6E42C0
13497859,1467,77413326,Shared room,,Auckland,,Monarch Park,0,0.0,2,1.0,,38.0,,Comfortable and peaceful home.,2017-07-19 03:30:07.007530,-36.797428,174.731735,0101000020E6100000D5CA845F6AD765401475E61E126642C0
9616708,1467,49754195,Shared room,,Auckland,,Auckland Central West,4,2.5,1,1.0,,21.0,,Larch Coach Bed in Living Room,2017-07-19 03:30:07.004222,-36.85025,174.757073,0101000020E6100000E8F527F139D8654046B6F3FDD46C42C0
5496969,1467,28509656,Shared room,,Auckland,,Sandringham East,0,0.0,1,1.0,,10.0,,"outside  space   for  rent,  ( land   only)",2017-07-19 03:30:07.001131,-36.898329,174.737891,0101000020E6100000682096CD9CD765403106D671FC7242C0
11613990,1467,6236476,Shared room,,Auckland,,Kaurilands,2,0.0,3,1.0,,34.0,,Queen Bed in a Bush View House,2017-07-19 03:30:06.998671,-36.931327,174.657049,0101000020E6100000D3DB9F8B06D56540DF701FB9357742C0
10071481,1467,51646142,Shared room,,Auckland,,Swanson South,25,4.5,13,1.0,,23.0,,Sweet As Home,2017-07-19 03:30:06.996242,-36.872026,174.574142,0101000020E610000052280B5F5FD265407FA1478C9E6F42C0
18830005,1467,8180908,Shared room,,Auckland,,Grey Lynn West,0,0.0,2,1.0,,38.0,,"Central, Sunny, Modern room with parking",2017-07-19 03:30:06.993906,-36.85554,174.731327,0101000020E6100000D175E10767D76540BD35B055826D42C0
16135702,1467,60320101,Shared room,,Auckland,,Weymouth West,19,4.5,2,1.0,,19.0,,1 Economy single bed for comfort nights stay,2017-07-19 03:30:06.991136,-37.039279,174.866099,0101000020E610000025034015B7DB6540B5352218078542C0
13182469,1467,73730978,Shared room,,Auckland,,Te Atatu Central,2,0.0,2,1.0,,18.0,,Cozy sunny and comfort room,2017-07-19 03:30:06.986867,-36.8419,174.648465,0101000020E610000038F3AB39C0D465404F401361C36B42C0
13264630,1467,74690889,Shared room,,Auckland,,Royal Oak,0,0.0,2,1.0,,19.0,,"Sublet Shared Room in Epsom, Auckland",2017-07-19 03:30:06.984330,-36.901968,174.772835,0101000020E610000088467710BBD86540EE04FBAF737342C0
18874885,1467,121401229,Shared room,,Auckland,,Albany,0,0.0,2,1.0,,29.0,,Private Room Close to the Mall & Massey University,2017-07-19 03:30:06.979797,-36.721624,174.698805,0101000020E610000000A94D9C5CD665401D01DC2C5E5C42C0
13739235,1467,80423508,Shared room,,Auckland,,Maungawhau,17,4.5,1,1.0,,30.0,,Home Sweet Home/Bed in Lounge,2017-07-19 03:30:06.976673,-36.891128,174.746248,0101000020E610000093567C43E1D765406346787B107242C0
9301230,1467,38794859,Shared room,,Auckland,,Auckland Central West,0,0.0,2,1.0,,27.0,,Crash on the couch for the weekend,2017-07-19 03:30:06.971266,-36.850966,174.758813,0101000020E6100000F358333248D8654004013274EC6C42C0
18479558,1467,79268496,Shared room,,Auckland,,Avondale West,0,0.0,1,1.0,,18.0,,"Converted Garage in Avondale, New Lynn",2017-07-19 03:30:05.541717,-36.898082,174.694464,0101000020E6100000FB07910C39D665402A90D959F47242C0
15959468,1467,23867314,Shared room,,Auckland,,St Lukes,3,5.0,1,1.0,,23.0,,Bohemian Kingsland bed in living room,2017-07-19 03:30:05.539045,-36.871621,174.731212,0101000020E61000002B4EB51666D76540DFC0E446916F42C0
